Lemmatized_Text,Predicted_Emotion
I have be take it slowly go at my own pace and not feel pressured to finish or catch up and I m not look for a miracle cure;fear,Neutral
I hope you feel a little more glamorous after read today pinter loves;joy,Happy
I be thankful that I feel well emotionally;joy,Happy
I feel a lot of positive intention behind it;joy,Happy
ill just have to make some local friend I can go to the movie with and know for a fact they will not even without meaning to cause I seriously doubt there be any actual intention to hurt my feeling or actually call I heartless a moral or brainless it just come across that way to me;anger,Neutral
I do not know how to explain it very well its like I be happily bob along explore an abstract universe all on my own but when I make contact with something I get excited and happy and I feel satisfied like I ve form a special bond with whatever I ve encountered;joy,Happy
I be out until at a social gathering so I feel a bit groggy today;sadness,Sad
I feel violent wanna kill someone anyone or kiss them;anger,Neutral
I feel regretful ashamed and embarrase of evey single thing I ve ever do I can not think of anything I m proud of;sadnes,Sad
I realize that I let a lot of thing bother I that really shouldn t bother I at least to the extent that I be move to feel this passionate bother feeling;love,Neutral
I baht into usd and feel very satisfied with how little I spent;joy,Happy
I understand that he be feel devastated and I sympathize;sadness,Sad
I still feel worthless deep down inside;sadness,Sad
I feel really petty at the moment because I be extremely angry because I m break at the moment and it sort of piss I off;ang,Neutral
I get on and be nervous feel very timid and shy but after a while we be talk like we ve know each other our whole lives;fear,Neutral
I like build quality and how the button layout change accord to the phone s function I also like that the haptic feedback really feel like the phone have button herrman be still convince there aren t haptics;joy,Happy
I be feel generous so you can pick any reason you like but make sure you take your wise mother advice so I do not feel the need to drag all this to court;joy,Happy
I feel so worthless during those time I be struggle find work;sadness,Sad
I m feel rebellious and need to do something to relieve some of the turmoil in my body;anger,Neutral
I feel even more disturbed by that than what happen prior to I go to sleep;sadness,Sad
I feel like the most innocent statement can be twist into something sinister and inaccurate;joy,Happy
I feel welcome and loved;joy,Happy
I feel that peaceful feeling leave I and I feel down;joy,Happy
I feel more inhibited more shy in my own town with a camera than I do in the centre of london;sadness,Sad
I feel really bouncy for absolutely no reason and my head hurt a bit from try to remember all the book I m go to simply have to read now;joy,Happy
I no long have summer vacation like when I be in school summer still have a feeling of relaxation and be carefree;joy,Happy
I feel so inspired;joy,Happy
I have reason to wonder to be confuse to feel angered to say you re selfish to say you re cold;anger,Neutral
I do not like my former fob and feel joy when I receive a telegram offer I a new one that I though well and for which I have be waiting;joy,Happy
I feel hopeless right;sadness,Sad
I feel disgusted embarrased and sad about how I handle the situation;anger,Neutral
I could feel myself move slow and be generally more lethargic than our last ride on the same trail;sadness,Sad
I feel outraged about this type of thing;anger,Neutral
I get into group I feel really awkward and overcompensate by be too talkative or by get really quiet;sadness,Sad
I also find that during those time when I feel victimize by his loss I do not feel he near I at all;sadness,Sad
I do not like the way I feel when I be angry;anger,Neutral
I be feel a little shaky and call it a day on the small bike;fear,Neutral
I mention that I feel ignore and sad on my crappy birthday he remind I that he throw a th birthday party for me;sadness,Sad
I always feel horny when I m do but its definitely a large flaccid and my penis be sleepy and hang low;love,Neutral
I feel very blessed to know some of you personally and admire all the thing that you all have accomplished;joy,Happy
I wonder how shed feel about support me;love,Neutral
I feel only a little agitated right now;anger,Neutral
I always feel like they love to annoy we especially when be do something and we do not like to be disturb by anybody;sadness,Neutral
I be send home still feel a bit shaky and dizzy;fear,Neutral
I alba I feel good and I m fitting in;joy,Happy
I feel equally morally outraged regardless of whether its michigan or new york governor sleep with prostitute behind his wife and daughter backs;anger,Neutral
I feel blank and at a loss but hey that s old hat;sadness,Sad
I decline this invitation but secretly I could not help but feel curious;surprise,Neutral
I lock mine with a long lifeline and loop to a cleat or pile and take my gas line and if I m feel especially paranoid the spark plug too cover the hole with duct tape;fear,Neutral
I be ashamed when I feel like that the moment I see terrified cry child and dead ones;fear,Neutral
I feel doomed for want to get a doctorate of something besides medicine;sadness,Sad
I feel like I miss most of my precious summer;sadness,Happy
I can almost feel your delicate heart breaking;love,Neutral
I be fuck it up with my pattern of want craving addiction to attention and specialness my way of feeling love by another;love,Neutral
I sit and remember what longing feel like and what denial feel like it be so strange to think I could not have change my own perspective the experience itself create my view of the world;fear,Neutral
I want to tell everyone exactly how I m feel but as soon as I start to I feel ten time more pathetic and stop talking;sadness,Happy
I feel passionate about and feel so utterly completely free;joy,Happy
I couldn t feel the fake lash at all;sadness,Sad
I will not say that those hope be dash because I do truly enjoy the movie but I do leave feel disappointed;sadness,Happy
I resort to yesterday the post peak day of illness when I be still housebound but feel agitated and peckish for brew a href http pics;anger,Neutral
I feel super rad after eat it every time;joy,Happy
I feel like I just do not have it in I to keep love he and he deal I a card and it say mercy;love,Neutral
I feel safe and accepted;joy,Happy
I be feel quite mellow and I want a soft easy look to wear with my beginning of a cold;joy,Happy
I think beach be my favorite place although I get the feeling I would be quite fond of the desert also;love,Neutral
I don t feel like I lose too much fitness during my three week off either;sadness,Sad
I m deep in a budget spreadsheet I feel that I m someplace where I do not do my most creative work;joy,Happy
I be surprised no one be feel repressed misrepresented or offend by it;sadness,Neutral
I have eat at many restaurant and feel that we enjoy the cheap but much more delicious eatery than these more elegant but lack in spice and flavor places;joy,Happy
I feel fab if I can get hour sleep in one go but sam do not always oblige;joy,Happy
I feel humiliate and belittle I because it key into all of my trigger point it make I feel stupid and inarticulate and laughable and flatten about something I m passionate about knowledgeable about and see as my place in the world;sadness,Sad
I feel delicious absolutely darle and delicious;joy,Happy
I feel it be unfortunate that governor riley have state that he and the republican party be raise fund to unseat democrat in the elections;sadness,Sad
I be on to stop labor make I feel terrible;sadness,Sad
I feel like end my life like some song from damaged or something;sadness,Sad
I have to admit I be feel very skeptical;fear,Neutral
I know that he have not even hear what I be say so it make I feel unimportant to him;sadness,Sad
I don t feel successful if that make sense;joy,Happy
I be remind that this heartache I m feel be a gentle nudge;love,Neutral
I ve be feel really pump about run again this be very strange;fear,Neutral
I be feel ok it would be fun to drive over to dunstable and stand in a field for an hour or so watch people try and drive preposterous motor up grass slope that s trialling;joy,Happy
I feel as though I be go to be victimized;sadness,Sad
I could feel the strong connection and still can to my divine self;joy,Happy
when I hear a rumour that the st year exam result be out I have fear that I might be one of the failures;fear,Neutral
I can feel something inside I something delicate and peaceful unfurling inside my chest;love,Neutral
I feel I m get less and less vigorous;joy,Happy
I would hate to feel unwelcome;sadness,Sad
I m feel pretty determined right now I just have to keep my determination flow from now on;joy,Happy
I can not help feel like specifically my weight loss plight however successful be boring;joy,Happy
I sure hope it help I m tired of feel so lousy;sadness,Sad
I feel that brand in college be way more popular then it be back in high school;joy,Happy
I don t feel so self assure I need to compete or to justify why I m so clearly not do as well as someone else;joy,Happy
I ve be feel sooo inspire to wear black and white lately its probably because I follow all of these cool aussie girl with an amazing style on instagram;joy,Happy
I feel like I m in a frantic race with the clock and I can t figure out why;fear,Neutral
I feel like I be be obnoxious by post every three seconds;anger,Neutral
I also feel overwhelmed by to do lists;fear,Neutral
I ve hear a lot of folk share frustration with feel inadequate after see so many picture of perfection in project and home through blog and pinterest etc;sadness,Happy
I feel that giraffe be elegant majestic and appealing;joy,Happy
I like to think I can handle a lot but when I feel like my cup runneth over I get irritable;anger,Neutral
I would not feel hesitant in use the medical system again if needed;fear,Neutral
I feel like a neglectful pet owner;sadness,Sad
I feel horrible most of the time;sadness,Sad
there be a cat on the street it have be run over and its head be open we pass beside it;anger,Neutral
I do not believe gun be the solution to feel afraid;fear,Neutral
I do not know if I already hurt their feeling which may lead to their violent reaction may turn into a bad outcome;anger,Neutral
I cry through it all but I remember they bless we to feel comfort and I remember feel a sweet spirit;love,Happy
I feel so honored and grateful to have meet kassim selamat of the swallow during my trip;joy,Happy
I feel that people can not possibly appreciate I that any compliment toward I can not possibly be sincere or that I do not deserve compliment in the first place;joy,Happy
I just feel really emotionally drained;sadness,Sad
I m share our school room because I m sure I m not the only one that struggle or have struggle with school room jealousy of feel less than perfect;joy,Happy
I feel very graceful today;joy,Happy
I feel excited for this episode;joy,Happy
I keep feel so disgusted with myself;anger,Neutral
I go I see our flag fly at the turkish school and I feel very proud;joy,Happy
I feel so thankful to be on their team;joy,Happy
I proclaim to have lose a bit of my sanity and feel so shaky;fear,Neutral
I lose a close friend;sadness,Sad
I return not feel rejuvenated but exhausted;sadness,Sad
I do not expect to be that much addicted to the nicotine before I ve experience all withdrawal symptom feel irritable and so stress go mad with craving inability to concentrate dry mouth trouble sleep I wake up every night at a;anger,Neutral
I drive to class I be feel a little apprehensive but still no sweat;fear,Neutral
I be feel quite impressed with myself because I go two direction across the top row and down the left column;surprise,Neutral
I feel some control over care for the little one finance future decision family tension tough friendship you name it;love,Neutral
I hurt so bad I feel like I be finally getting punish for think the way I do and feel so damn restless;sadness,Sad
I do not know anyone but why do I feel helpless confused angry tired;sadness,Neutral
I just feel cold and drain all the time I m either hungry or tired or cold at the moment and it sort of sucks;anger,Neutral
I make sure that they feel comfortable and assure that someone be willing to listen to they and support they in thing we deem significant to them;joy,Happy
I feel awful about not work this summer I m finally go to be able to get some real rest and put my foot up;sadness,Happy
I feel accept for who I am;love,Neutral
I feel so unimportant insignificant like I m slip through the gap between his finger and he do not care;sadness,Sad
I do not feel as obnoxious as before when I do not feel like do anything but sulk;anger,Neutral
I feel jealous with they why they can;anger,Neutral
I feel really pump and also be eager to try hiit high intensity interval training thank to my new friend sarah;joy,Happy
I be tired and I feel defeated;sadness,Sad
I indulge in do some work I forget about the time trust people easily feel restless until my work be be finished;fear,Neutral
I feel helpless lose upset and bad of all;sadness,Sad
I do not feel as hopeful yesterday our small number my children misbehavior during the service and the difficult hurried pace of the day before and after leave I fray and vulnerable;joy,Happy
I feel terrible for pretty much abandon my online friend and I miss you all;sadness,Sad
I m frightened and feel paranoid;fear,Neutral
I ve have this urgent feeling to write to you and tell you how the file make I feel but have feel hesitant because of fear as to where it will lead me;fear,Neutral
I feel excelent but sometimes there s just nothing to do especially since I m not really keen on video game anymore I watch a bit of anime and some movie but there s just get to be more in my life;joy,Happy
I can feel my life be the most wonderful;joy,Happy
I wouldn t throw it in the ocean but I don t feel I would have miss something in my career if I don t win an oscar;sadness,Neutral
I just feel that as my reader and loyal subscriber you need to be inform about how great butterfly marketing really be and not be take for a ride so I can bank some chunky commissions;love,Neutral
I feel like on my ugly day or ugly phase as I call they I m not just unattractive but that I m unattractive in an odd way;sadness,Sad
I pray that each of you who be hurt or feel afraid tonight find peace and soon;fear,Neutral
I feel hopeless to cure their disorder I can remember that I be work with human being with feeling and fear just like me;sadness,Neutral
I take a look as I try to get use to the feeling of his touch innocent as it is;joy,Happy
I m feel so unsure when thing be press in about I come a gentle voice so still;fear,Neutral
I really didn t feel like there be any though so I be quite delighted when my brain come up with the amazingly obvious solution of ask the guy who live in the other half of my duplex if I could just get dsl on his line and set up a wireless network;joy,Happy
I don t doubt that I m right in this case because I feel that you be a faithful gamer;love,Neutral
I do not want to pretend I be someone and I be not because I do not feel comfortable;joy,Happy
I feel a little hopeless sometimes;sadness,Sad
I have a feeling its because I be never that friendly;joy,Happy
I feel so doubtful about myself ever since I take this job;fear,Neutral
I m still feel a little shaken;fear,Neutral
I can stop rely on the view of other for my self worth and thus not feel so threaten by their behaviors;fear,Neutral
I refuse to rate the book but if she and her publisher feel snobbish then take it from I when I say jeanette winterson can not write and essentially do not do wish to do anything with the scope to explore;anger,Neutral
I feel burden by my goals;sadness,Sad
I should have leave this movie feeling frightened or at the very least convinced that this number hold some kind of mystical power or be the key to some government conspiracy but no;fear,Neutral
I feel its a must that I exspress my sincere appriciation for all your efforts;joy,Happy
I feel so fucking stupid for do so;sadness,Sad
I be feel lethargic hahaha;sadness,Sad
sometime back another girl who be in term with my exboyfriend come to shout at I at twelve midnight it be because she think I be still interested in the boy;anger,Neutral
I m feel kinda homesick;sadness,Sad
I get the feeling she hate that that I would not admit it let it in I know I ve hate every single obstacle that keep it from her every single leaden block that keep be place in our once clear path to one another arms;anger,Neutral
I feel strong confident intelligent and ready to step out into the real world;joy,Happy
I m feel stupid;sadness,Sad
I feel agitated annoyed and I see feel the darkness everywhere;fear,Neutral
I always feel pressured to make it perfect fit for for all audience and gorgeous in creativity;fear,Happy
stay in a relative house which be break in before;fear,Neutral
I go home that day feel very discouraged at all of the ground that I have to make up but with my heart set on fulfil my destiny;sadness,Sad
I feel accept and love and a place where I belong;joy,Happy
I feel like they have be more than generous and completely understand that thing change I mean day off unpaid;love,Neutral
I feel awkward speak to a native now;sadness,Sad
I feel empty inside iphone wallpaper mobile wallpaper to your wap folder img src http images;sadness,Sad
I feel like hand the kid over and say here you think they re so cute;joy,Happy
I be able to be myself and not feel pressured to talk in a group so it be in a way well than all the year in secondary school;fear,Neutral
I be not suppose to be with n to just let it happen so I could feel the hurt and move on and be with who I be suppose to be with;sadness,Neutral
I do not feel unhappy miserable wretched glum gloomy forelorn or heartbroken;sadness,Sad
I can feel innocent cuz I be not mean n bitchy;joy,Happy
I actually feel lame because its such a much light workout than the px but I m able to push hard and I do not dread it so much;sadness,Happy
I feel rather disheartened suddenly;sadness,Sad
I may not have be post actively but fortunately I keep a camera pen and notebook where ever I go so whenever I feel very passionate about something I write or take many photos;love,Happy
I d actually be feel less hostile towards ms than a lot of my linux use brother lately;anger,Neutral
I feel kind of sorry for her;sadness,Sad
I keep feel like I should pinch myself to make sure its real because the sheer quantity of awesomeness I m about to receive be amazing;joy,Happy
I feel sentimental I close my eye and look up I feel powerful if I do that;sadness,Sad
I ve get a feeling that yesubais story set up everything that happen in this world and I m hopeful that all these horrible thing she go through bring around some kind of goodness;joy,Happy
I feel that defeat feeling it move on and I start hear whispering of hope and what if s;sadness,Sad
I feel like I should see it through to the bitter end so that s what I m go to do;anger,Neutral
I have a feeling your heart will be happy that you did;joy,Happy
I ve just spend the last half hour feel ridiculously angry over insensitive comment from my partner but that all change a few minute ago to real pride over how much I have changed;anger,Neutral
I know that next time I get feel all needy and want something no matter how petty I be go to say so;sadnes,Sad
I feel like the addition of sweet fresh corn really add a touch of summer to an otherwise heavy fall dish;joy,Happy
I m not completely sure my topic be narrow enough and I m feel apprehensive about be able to find half of my source in print;fear,Neutral
I m not go to lie sometimes hear myself say some of the thing on my recording make I feel weird and insecure but just like the quote state above its a good thing;fear,Neutral
I feel defective or something;sadness,Sad
I hate see people hate one each other and like everyone I can not stand feel hate on;sadness,Neutral
I know that s not true but that s how I feel I get scared;fear,Neutral
I m still feel terrible even though I ve have some good days;sadness,Sad
I don t feel reject or abandon which speak volume to the expansion of my self worth;sadness,Sad
I will not respond I be not try to trap any one or make you feel burden upon or threaten for your opinion;sadness,Sad
I ve be hold onto that be make I feel rotten;sadness,Sad
I feel hesitant to comment because I don t want to add to a pileon but it seem clear to I that those involved haven t learn from their past experience nor be they interested in apply that learn to future projects;fear,Neutral
I m feel be happiness wholeness and excited anticipation sometimes I m reduce to tear and can barely begin to put my feeling into words;joy,Happy
I have be really feel my age and beyond this week I think a gentle reminder be in order;love,Neutral
I need to do this that and the other for college by such and such a date because for the past four year I ve always feel like I ve be need to do something college base and now I do not but I still have that feel its really weird I feel almost guilty in fact;surprise,Neutral
I feel weird have to yank it down and readjust it at points;fear,Neutral
I feel so uncomfortable about the word hero;fear,Neutral
I can feel again I want to talk about the positive feeling of love good will and support that be rain down upon my detoxified mind and body and on behalf of the team here at iws radio I want to give a virtual hug and say thank to some people for make I smile during sunday s show;joy,Happy
I feel more hostile towards sarcoidosis than usual;anger,Neutral
I do not want to put that pressure upon the minor because I feel like it would be more useful without it;joy,Happy
I leave feel hopeful give I have feel some really good twinge release aaaaaaand;joy,Happy
I m put my book in a stack and wonder when ill stop feel so sad about the passing of ray bradbury;sadness,Sad
I be feel horny so I ask she that let go home;love,Neutral
I be still feel brave;joy,Happy
I just feel so wronged and sad that I can not even have the space I want;anger,Neutral
I be just so sick of feel hate and lonely and dumb and unloved and forgotten;anger,Sad
I feel like we have a connection but we ve struggle so much now we ve lose it and I feel so bad about that;sadness,Sad
I feel myself be suck back in and this vicious cycle start again every time you open the door and every time you show I more you back back any hint of love what be it that you re afraid of;anger,Neutral
I say goodbye to the fam they re all sad a crying and I feel like a heartless bitch because hey I m pretty excited to be fly for the first time and you know also to spend a year in another country;anger,Neutral
I feel so peaceful to be around and myself;joy,Happy
I m feel a need to revisit my artistic influences;joy,Happy
I suspect this be a big reason why so many on screen interaction feel so fake;sadness,Sad
I m more scared of like drama or thriller that be actually capable of happen and so leave I feel disturbed i;sadness,Sad
I get back to my desk I just sit there and cry feel so humiliated;sadness,Sad
I feel like I can take on the world and even if it say no to I I will not be afraid and will not be discouraged;fear,Neutral
I feel like there s nothing in my life empty;sadness,Sad
I feel the wrapping of the gift be almost as important as the gift itself;joy,Happy
I discover out what create my wife feel lovedi be shocked;surprise,Neutral
I feel that your prince charming will come through soon than you expected;joy,Happy
I do feel that at least it mean they be compassionate and care about the world ba;love,Neutral
I m feel somewhat verbally lame as I listen for the eighth time to suzanne vegas nine object of desire;sadness,Sad
I m feel somewhat indecisive about what to do in term of an alliance;fear,Neutral
I feel pressured to come up with something else funny to write about;fear,Neutral
I start to open up about it I start to feel more like myself the stephanie who isn t embarrass by life s setback who tackle difficult situation with humor and honesty;sadness,Neutral
I feel I m a fairly generous person but I do not sell or give away the trudger I make except as gift to close friend and relatives;love,Happy
I be feel thankful for warm sunshine crisp autumn air and bright fall colors;joy,Happy
I feel playful I m go to tell my boyfriend and if he do not feel it too such be life it be his loss;joy,Happy
I feel totally listless exam have come and go and now I have a whole five or so month in front of I with no uni and free time;sadness,Sad
I do not want aubrey to feel pressured or rush into baptism but then I realize that she do not need to have a perfect knowledge in order to be baptized;fear,Neutral
I be start to feel scared for both of their safety and I wish those officer hadn t leave no matter how much I hate them;fear,Neutral
I feel that this kind of website would be amazing for learn purpose in which it already do provide the viewer with knowledge regard the history of paris;joy,Happy
I feel a little ashamed that I have such low expectation in the first place;sadness,Sad
I be not feel particularly bitter on my birthday in fact I have a fantastic day;anger,Neutral
I be afraid I be go to freak explode my muscle lock into place and all I could feel be the absolutely ecstatic sensation ivy s hand be creating;joy,Happy
I feel like a distracted robot;anger,Neutral
I m feel amazed with my california ness at the moment currently sit by the pool drink a wine spritzer out of nagalene connect via google wifi and use stellarium to figure out the stars;surprise,Neutral
I be talk to elder ditlevsen the other day about my plan at college and thing and how you guy be all way excited for I to get back and he tell I that he remember feel a little nervous as a parent;fear,Neutral
I feel agitated about it;anger,Neutral
I still feel like the admission that I don t like this popular show put I in a category with people who kick puppy or people who or who steal the ratty clothe off the back of dickensian orphans;joy,Happy
I feel amused and kind of tired still in the morning i;joy,Happy
I can t begin to express the feeling this doom romantic vision stir in I the seed which grow through a lifetime;sadness,Neutral
I m not feel all that happy or thankful today;joy,Happy
I could continue feel awful and cry to all my friend and focus on how wronged I have be and end up feel worse;sadness,Sad
I feel very privileged but it be also a lot of work;joy,Happy
I love be around people and I naturally feed off of their energy but I feel all alone in the world;sadness,Neutral
ill feel even more pressured;fear,Neutral
I do not feel bad about it;sadness,Sad
I choose mouse because I feel cute as of now that I be I trip over the pile of sand repeatedly while vigorously directing;joy,Happy
I mean I could literally feel he feel content;joy,Happy
I feel you be be wrong I will back you;anger,Neutral
I be feel super fly;joy,Happy
I feel so humiliate at fail to achieve what I should have;sadness,Sad
I start to feel happy and then I think of how lonely my cat feels;joy,Happy
I feel stressed I tend to scrapbook and make cards;anger,Neutral
I feel artistic;joy,Happy
I make light of it but sometimes I feel really awkward in small group and in one on one conversations;sadness,Sad
I don t fit in and never will despite the fact if you give I the option I would still choose to be an outsider and combine with the lack of creativity and originality and dare I say it the utter conformity of the student body it just make I feel depressed;sadness,Sad
I feel a bit rotten put a post about teaching into the stone tag list for this blog its not really a grumble or groan subject for I to be honest;sadness,Sad
I walk out feeling so assured that this could really happen;joy,Happy
I feel heartbroken again I feel dead inside lose angry at myself;sadness,Sad
I can not help feel a strange variety of relief for that;surprise,Neutral
I think people bear in the s and s hold the key to open many door for we we just need to make they feel treasured enough to share it;love,Neutral
I m kind of at a stage whereby I m feel disillusioned about be myself;sadness,Sad
I feel very bitter that I be suppose to be provide this privileged space to someone else and I do not get it;ang,Neutral
I seek the presence of people of conscience and I feel around I the optimism of youth with its stubborn refusal to accept a fate force upon it;anger,Neutral
I feel lucky every single day for it;joy,Happy
I feel peaceful and not particularly stress about anything;joy,Happy
I feel out of control I hate myself for feel it then feel more out of control hate myself for hate that I hate it and it just get bad until I be walk to work in a haze try to not curl up on the pavement and just;anger,Neutral
I be not use to be around such grandeur and I find myself feel very intimidated;fear,Neutral
I need to know that the pain I feel be not in vain and that there be a well and bright day in my future;sadness,Sad
I feel so heartbroken tonight;sadness,Sad
I feel the need to have a reason or everything I hate that I have to be subject to thunder and lightening when it be unnecessary;sadness,Neutral
I feel like maybe a yoga class and later a long hot soak in the tub with some beautiful perfume bath salts;love,Neutral
I do not feel too much it be just casual;joy,Happy
I feel like I just be so discontent with my work load and with myself;sadness,Sad
I feel no joy no pride there be nothing to be admire in that foul achievement;love,Happy
I get a good feeling I get a feeling that I never never have before I think it be so clever stick a needle in my arm to that song;joy,Happy
I feel like I m collapse slowly like a bouncy castle with a small tear;joy,Happy
I climb over that day and awful hump and I feel fabulous;joy,Happy
I use emoticon because it would be awkward writing I be feel amuse by what you be write right now as oppose to xd;joy,Happy
I would feel so nostalgic at such a young age;love,Neutral
I can feel my blood start to boil my hand start to twitch and I suddenly get really hot;love,Neutral
I feel my life be threaten by illness I lose my mind;fear,Neutral
I often feel bother by it by my inability to stop love people no matter how much time pass or how deeply they wrong me;anger,Neutral
I feel very blessed and love by the people around me;love,Neutral
I do not feel like any of my problem be resolved;joy,Happy
I always feel glamorous wear a flow gucci number no matter what kind of day;joy,Happy
I give they a little something out of my paypal stash and if anyone out there feel as strongly about support linux as I this be a cheap and easy;joy,Happy
I remember feel so lonely as a child in my room even though I have a lot of toy to keep I occupied;sadness,Sad
I love read I feel positively rich when the house be full of new book learn new thing and as the pain be relentless I can t really pace myself I spend my day potter from job to job depend on how stupid I feel like being;joy,Happy
I feel very very burden by so many situation around I right now;sadness,Sad
ill transfer those that I feel will be useful to next year class to the class website or specific content unit blog or sites;joy,Happy
I be feel quite impatient and must have hit the ad because that s when my internet die and vista virus pro start to bother me;anger,Neutral
I have now live in virginia for about eight whole month and it feel super weird;joy,Happy
I love winter so maybe I should be happy but I can not I feel gloomy and depressed;sadness,Sad
I wake up this morning after hour of interrupted sleep feel lousy mostly my legs;sadness,Sad
I may be start to feel paranoid or maybe insecure but I m just a mere human being who yearn to be love to be care of and to be noticed;fear,Neutral
I be feel ok so I ignore it my heart be not jump out from where it suppose to be yet;joy,Happy
I definitely feel hated;anger,Neutral
I feel like a lousy person because I really can not think of anything profound to say;sadness,Sad
I be generally a pretty happy and positive person there be time when the nerve kick in and I be not feel quite so happy and smiley;joy,Happy
I d feel completely lose without him;sadness,Sad
I have agonise over write a review for this book my word just do not seem to flow I feel somehow inadequate for this task;sadness,Sad
I feel that it be important to write about what happen to heal and I be sure there be many out there who need to see how someone deal with it all to find the strength to heal as well;joy,Happy
I be terrify that the revelation of my feeling would drive he away though he reassure I it wouldn t;joy,Happy
I find myself feel fairly ignore sort of take for grant you know;sadness,Sad
I feel awful about miss school;sadness,Sad
I be feel very offended at the line of questioning and almost walk out but I stick around for some reason;anger,Neutral
I m really feel hot comfort food this week;love,Neutral
I feel extremely discontent right now;sadness,Sad
I don t feel particularly passionate as I once do and my goal be change and evolve quickly;joy,Happy
I begin feel dull throb pain in my forefoot and after I be do run I have pain in the lateral area of my foot that be once broken;sadness,Sad
I feel that educate family and support and educationg mama and papa be key;joy,Happy
I feel it like a dull ache;sadness,Sad
I feel I m be truthful;joy,Happy
I be not feel all that hot and I be move well;love,Neutral
I always want nemo by my side and sleep without she now feel weird even though it do not happen often that I get to;surprise,Neutral
I m feel ok to say il tough it out at the time it be pretty unpleasant;joy,Happy
I just think the medium in general I just don t really get portray as someone who have feeling or who be sympathetic;love,Neutral
I feel we do have some control over our petty dissatisfaction by try to act or think and then feel more positive about our own lives;anger,Neutral
I just didn t end feel satisfied;joy,Happy
I feel sorry for the employee but if this be the way applebee ceo behave its good if the chain be starve to death by care consumers;sadness,Sad
I begin to feel curious and try to percieve who I be beneath my pride and why I be who I am;surprise,Neutral
I feel so carefree nowwwwww;joy,Happy
I rid myself of many bad habit only to fall back into they when I feel insecure or vulnerable;fear,Neutral
I feel all glamorous;joy,Happy
I still feel mentally in the game but a string of unfortunate event most I haven t write about have I sit on the sideline temporarily;sadness,Sad
I feel like the image be compromise and immediately not as successful;joy,Happy
I get what williams be do in impe other artist but I still feel that its more of a distraction than it be clever and the murder mystery plot be a decent hook but turn out to be wholly unsurprising;joy,Happy
my boyfriend with whom I have a longlasting relationship;sadness,Sad
I feel like you can have a piece for breakfast and its ok on the nutrition scale;joy,Happy
I m now and still addict to the way live a healthy and fit lifestyle make I feel energetic confident strong and youthful on a daily basis;joy,Happy
I honestly feel that I m be ignore and leave alone;sadness,Sad
I m not feel outgoing and be in no mood to put the game face on and smooch;joy,Happy
I feel that rich people will never understand the cruelty of money;joy,Happy
I m an introvert by which I mean I get re energized be alone and preferably in a quiet place so time in the crew galley when there be a lot of people in a relatively small place all talk at once can leave I feel drain and in need of a dark room with nothing but whale noises;sadness,Sad
